id,question,answers
0,What is the name of the first planet of the solar system?,mercury|mecury|mercruy|mercury.|the first planet of the solar system is mercury.|merc
1,What is the name of the first man that stepped on the Moon?,neil armstron|armstrong?|neil       armstrong|neil  amstrong|neal armstrong|neil arstrong|neil armstrong.|niel armstrong|neil armstrong (buzz should be mentioned here too)|neil amstrong|neil a.|armstrong|mr. armstrong|neil armstrong
2,Which planet in the solar system is the only one that rotates clockwise?,venus is the only planet in the solar system that rotates clockwise (also known as retrograde rotation).|venus is the only planet in the solar system that rotates clockwise.|venus
3,Which planet has a hexagon shaped cloud formation on its north pole?,saturn|saturn is the planet with a hexagon-shaped cloud formation on its north pole.|satrun|saturn has a hexagon-shaped cloud formation on its north pole.|saturn's hexagon
4,What is the orbital period of the Earth around the Sun in days?,365 days|364.25|365 or 366 in leap years|365.26|365 days.|364.25 days|approximately 365.25 days|365 days (and a quarter that gives us leap years...)|365|365.25 days|365.|365.25|365.3
5,What are the only two planets of our solar system that do not possess any moon?,"venus and mercury|venus, mercury|mecury and vernus|mercury and venus|mercury & venus|mercury and venus.|mercury   venus|mecury and venus|mercury venus|venus mercury|mercury, venus|the only two planets in our solar system that do not possess any moons are mercury and venus.|mercury or venus|mercury/venus"
6,What is Earth’s only natural satellite?,the moon|the moon?|the  moon|moon|earth's only natural satellite is the moon.|the moon (luna)|our moon|moon.|the moon/luna|the moon.|moom|moon/luna|luna|the moom
7,What is the only liveable planet of our solar system?,earth|esrth|earth is the only habitable (livable) planet in our solar system.|earth.|planet earth|the earth|ear|earth is considered the only habitable (livable) planet of our solar system.|eath
8,How old is the Sun (rounded up to the nearest billion years)?,the sun is approximately 4.6 billion years old.|4.2|4|4 billion|4billion|approximately 4.6 billions years|4 billion years old|5.6|5 billion years|4.61|5 billion yrs|4.6|5b|5 billion|4500000000 years old|five billion|4.7 billion|4 billion years|4.6 billion years|4billion years|4.5 billion years|4.6 billion|4.5|4.603 billion years|5|4.6 billion years old.|4500000000|four billion|4.4 billion years|5bn|4.6billion years ago
9,What is the name of the first human object that crossed the limits of our solar system?,voygaer|nasa voyager|voyager 1 spacecraft.|voyager 1 (or 2)|voyager 1 space craft|the voyager|the first human-made object to cross the limits of our solar system was voyager 1.|voyager 1|voyager|the first human object that crossed the limits of our solar system is voyager 1.|voyager i
10,What is the last planet of our solar system?,neptune (since pluto is now a 'minor planet')|neptume|nepturn|neptune
11,What is the largest celestial object of the asteroid belt?,dwarf planet ceres|the largest celestial object of the asteroid belt is ceres.|ceres
12,"Pluto used to be the 9th planet of our solar system, but is no longer considered as a planet by scientists nowadays but as a …?","drawf planet|dwarf|dwarf plane|dwarf planet|dwarf giant|planetoid or dwarf planet|pluto is no longer considered a planet by scientists; instead, it is classified as a dwarf planet.|dwarf star|dwarf, planet|dwarf planet?|a dwarf planet|dwarf planet.|pluto is no longer considered a planet by scientists nowadays but as a dwarf planet.|dwarf plant|dwarf plnt"
13,Between which planets of our solar system is located the asteroid belt?,"mars jupiter|between mars and jupiter|mars, jupiter|mars & jupiter|the asteroid belt is located between the orbits of mars and jupiter.|jupiter and mars|jupitter and mar|mars and jupiter.|the asteroid belt is located between the planets mars and jupiter.|mars and jupiter"
14,What is the name of the circumstellar disc located beyond the orbit of Neptune?,kuiperbelt|kuiper|the kuiper belt|kuipter belt|the circumstellar disc located beyond the orbit of neptune is called the kuiper belt.|kuiper belt|kaipur belt|kuiper belt.|kiper belt|keiper belt|kuiperr belt
15,When did Christopher Columbus discover the Americas?,"1492 ad|october 1492|1492, in october|in 1492|christopher columbus's first voyage to the americas began on august 3, 1492, when he set sail from spain.|ad 1492|october 12, 1492.|1492|october 12, 1492|fourteen ninety two|october 12th, 1492"
16,What is the date of the United States Declaration of Independence?,"14th july ,1776|4 july 1776|1776, july 4th|july 4 1776|juky 4 1776|7/4/1776|july 4,1776|july 4th, 1776|6-4-1776|07/04/1776|july 4, 1976|7/7/1776|july, 4 1776|in 1776|4th july 1776|1776 ad|7/4/76|04/06/1776|1776 july 4|july 4, 1776|ad 1776|1776|7/04/1776|july 4th 1776"
17,What is the year of the beginning of the American Civil War?,"1860|april 12th, 1861|1861|1861-1865|1861 ad|it began on april 12 1861|the american civil war began in 1861. specifically, the first shots were fired at fort sumter, south carolina, on april 12, 1861, marking the beginning of the conflict.|ad 1861|in 1861"
18,What is the year of the beginning of the Confederation Period?,"1783 ad|ad 1783|1780|1783|1781|march 1st, 1781|in 1783"
19,What is the date of foundation of the city of Los Angeles?,"ad 1781|september 4th, 1781|1780|september 4,1781|september 4, 1781.|1781 ad|1781|september 4, 1781|in 1781"
20,When did the US declare war on Japan?,"1941|8 december 1941|december 8 1941|dec. 8, 1941|the united states declared war on japan on december 8, 1941, the day after the japanese attack on pearl harbor.|december 8th, 1941|december 7th, 1941|december 9, 1941|1941 ad|december 8, 1941|dec 7,1941|ad 1941|december 1945|8th december,1941|december 7, 1941|november 7, 1941|in 1941|dec 8 1941|dec 7 1941|december 8|dec 8, 1941"
21,Independence Day was first established as a holiday by Congress in what year?,ad 1870|1869 or 1870|1870|in 1870|1870 ad
22,Who was the first President to live in the White House?,adams|joh adams|john adams|john adams?|john quincy adams|the first president to live in the white house was john adams.|john q. adams|president john adams
23,Where was the first Fourth of July Celebration with a firework display held?,"boston ma|boston|boston, massachusetts|boston?|boston, ma"
24,Which President was in office between 1893 and 1897?,the president of the united states who served between 1893 and 1897 was grover cleveland.|grover cleavland|cleavland|grover cleverland|cleveland|cloeveland|grover cleveland|grover cleaveland
25,When did Franklin D. Roosevelt die?,"may 1945|april 12.1945|1945|ad 1945|1945 ad|apr 19445|12th april, 1945|april, 1945|april 12, 1945.|12 april 1945|april 12, 1945|franklin d. roosevelt, the 32nd president of the united states, died on april 12, 1945.|in 1945"
26,Which was the first state to announce its secession from the Union before the Civil War began?,south carolina|s carolina|s. carolina|south caroline|sc
27,When did prohibition start and end in the United States?,"1920 and 1933|1920 - 1933|1920-1933|started on january 17th, 1920 and ended on december 5th, 1933|1920 1933|1920 to 1933|january 17, 1920, and ended on december 5, 1933|prohibition in the united states officially started on january 17, 1920, with the ratification of the 18th amendment to the united states constitution, which prohibited the manufacture, sale, and transportation of alcoholic beverages.|17 january 1920 - 5 december 1933|1933-1920"
28,What is the name of the document with the first ten amendments to the Constitution that detail the protection of individual liberties?,bill of right|bill ofrights|the bill of rights?|the bill of rights|the biil of rights|bill of rights
29,What was called the first American Constitution?,the article of confederation|the articles of confederation|confederation articles|articles of confederate|the artciles of confederation|the articles of the confederation|articles of conferation|articles of the confederation|article of confederation|articles of confederation|articles of confederations|confederation|articles of confederation.
30,What is the name of Batman’s mother?,"martha wayne, nee kane|the name of batman's mother is martha wayne.|martha wayne|martha??|martha"
31,What weapon does Thor use?,molnir|hammer|the hammer.|a hammer called mjolnir|a magical hammer|hammer of odin|huge hammer|mjollnir|magical hammer|mjolier/hammer|mjonir|hammer.|mjolnir (hammer)|mjonier|thor uses a magical hammer called mjolnir as his primary weapon.|mjölnir|hammer mallet|hammer / mjolnir|mjolnor (i don't know the spelling)|his hammer mjolnir|mjolnir|magic hammer|moljinir|mjolnr|mjnoller|a hammer
32,What is the real name of Spider-Man?,peter parker.|peter parker|peter benjamin parker|miles morales|parker|peter parket|peter parkerq|peter|the real name of spider-man is peter parker.
33,Who is the Human Torch to the Invisible Woman?,"bro|he is her brother|sibling|her younger brother|brother|her brother|they are brother and sister.|the human torch is the brother of the invisible woman (sue storm) in the fantastic four. his real name is johnny storm.|the brother|is the younger brother of the invisible woman|younger brother|sister|brother and sister|little brother|usually his sister and both on the fantastic four|sibliings, brother"
34,Who created the character of Iron Man?,"sam lee|stan lee & jack kirby|the great stan lee - and others whose name i don't know.|iron man was created by writer and editor stan lee, developed by scripter larry lieber, and designed by artists don heck and jack kirby.|stan lee, larry lieber, don heck, and jack kirby|stanley|stan lee and the artist larry lieber.|stan lee and jack kirby|sta lee|stan lee|jack kirby|stan lee??"
35,Batman protects which city?,gotham.|goyham|ghotham city|gotham|gothom|gothem|batman protects gotham city.|gothan|gotham city|arkham
36,Which superhero has a magic lasso and bullet-proof bracelets?,wonder womn|wonderwoman|wonder woman|wonder women|wonder woman (diane)|the superhero with a magic lasso and bullet-proof bracelets is wonder woman.|wonder woma|wonder woman.|wonderwomen
37,The Green Lantern gains his power from which object?,ring/latern|the green lantern gains his power from the green lantern power ring.|green lattern ring|his pwer ring|his power ring|magic ring|a ring.|the power ring|power ring.|rings|lantern and a ring|his lantern ring|a power ring|his ring|ring or lantern|a lantern?|a ring|the willpower ring|latern|lantern|ring|power ring|green lantern|green power ring|a green lantern|green lantern power ring|the green lantern|green lanterns|the green lantern power ring|green lantern?|lantern and ring|a lantern|lantern ring|the green ring|a green ring
38,Wonder Woman comes from which island?,paradise island.|themyscera|themiscaria|thymiscira|wonder woman comes from the island of themyscira|themiscira|themyscira|paradise|thymyscria (i don't know the spelling)|thymiscera|island of themyscira|paradise island|thermysceria|themiscyra|thymeslcia? i don't know the proper spelling|themyscarrae (sp?)|theymiscira|themyscara the amazon island|thymoscara|themysica|themyscyra
39,Which newspaper does Spiderman work for?,spider-man works for the daily bugle newspaper.|daily bugle? bugler?|the daily beagle|daily bugle|the daily bugle newspaper|daily bugal|bugle|the daily bugle|daily bugle newspaper|works for the daily bugle newspaper|the daily bugel|the daily bulge
40,What is the name of the archnemesis of the Fantastic Four?,dr doom|dr. doom|doctor doom|dr.doom|victor von doom|victor doom|victor von doom or doctor doom|the archnemesis of the fantastic four is doctor doom (also known as victor von doom).|dr. victor von doom|dt doom|doom
41,What is the name of the archenemy of Aquaman?,"the archenemy of aquaman is black manta.|black manta|depending on the comic and the age, either ocean master or black manta|black manta.|mantra|ocean master|malefic|black mantra|black mantis|balck manta|black manat"
42,Who killed Superman in the 1993 comic?,villain doomsday|doomsday
43,Who was Aquaman’s sidekick?,"garth, aqualad|prince garth aqualad|gartg|garth|aqua lad|prince garth|aqualad|aqualad?|aquaman's sidekick was aqualad (also known as garth or tempest)."
44,"What is the family name of Alfred, Batman’s butler?","pennysworth|pennywort|penneyworth|alfred thaddeus crane pennyworth|alfred pennyworthy|the family name of alfred, batman's butler, is pennyworth.|pannyworth|alfred pennyworth|pennyworth"
